Datum; Feiertag
2013-1-1; 1
2013-3-29;1
2013-4-1;1
2013-5-1;1
2013-5-9;1
2013-5-20;1
2013-10-3:1
2013-12-25;1
2013-12-26;1
2014-1-1;1
2014-4-18;1
2014-4-21;1
2014-5-1;1
2014-5-29;1
2014-6-9;1
2014-10-3;1
2014-12-25;1
2014-12-26;1
2015-1-1:1
2015-4-3:1
2015-4-6;1
2015-5-1:1
2015-5-14;1
2015-5-25;1
2015-10-3;1
2015-12-25;1
2015-12-26;1
2016-1-1:1
2016-3-25;1
2016-3-28;1
2016-1-5;1
2016-5-5;1
2016-5-16;1
2016-10-3;1
2016-12-25;1
2016-12-26;1
2017-1-1:1
2017-4-14;1
2017-4-17;1
2017-5-1;1
2017-5-25;1
2017-6-5;1
2017-10-3;1
2017-10-31;1
2017-12-25;1
2017-12-26;1
2018-1-1:1
2018-3-30;1
2018-4-2;1
2018-5-1;1
2018-5-10;1
2018-5-21;1
